"Var1","Var2","CSEdistance","lat1","long1","lat2","long2","Pop1_cluster","Pop2_cluster","geo_km"
"09-ORB","21-KT",0.395647615528343,3.6922,31.7799,3.1709,32.8049,"Northern","Northern",127.828863326185
"17-LAG","21-KT",0.367880861445719,3.4407,32.8529,3.1709,32.8049,"Northern","Northern",30.5040540632411
"15-NGO","21-KT",0.327455256423296,3.6687,32.5914,3.1709,32.8049,"Northern","Northern",60.2797464881303
"07-OSG","21-KT",0.372858709129952,3.211,31.7253,3.1709,32.8049,"Northern","Northern",120.077185093055
"10-PAG","21-KT",0.364129725839899,3.3777,31.994,3.1709,32.8049,"Northern","Northern",93.0153562670526
"19-KTC","21-KT",0.296829547496298,3.2823,32.8232,3.1709,32.8049,"Northern","Northern",12.5666782706793
"12-OLO","21-KT",0.401902381707772,3.4016,32.011,3.1709,32.8049,"Northern","Northern",91.8927165812345
"03-DUK","21-KT",0.415602243936727,3.2671,31.1352,3.1709,32.8049,"Northern","Northern",185.885573980055
"14-OKS","21-KT",0.339615544151842,3.2599,32.2241,3.1709,32.8049,"Northern","Northern",65.3084330901814
"08-MY","21-KT",0.412068897441116,3.6828,31.727,3.1709,32.8049,"Northern","Northern",132.640843348948
"02-GAN","21-KT",0.395808719818457,3.2521,31.1231,3.1709,32.8049,"Northern","Northern",187.141493563759
"18-BOL","21-KT",0.336599187567423,3.2934,32.7822,3.1709,32.8049,"Northern","Northern",13.8680594530196
"19-KTC","22-OMI",0.252309096464661,3.2823,32.8232,3.0113,32.7323,"Northern","Northern",31.8145759463842
"08-MY","22-OMI",0.339537460860718,3.6828,31.727,3.0113,32.7323,"Northern","Northern",134.419550736606
"20-TUM","22-OMI",0.244907106036215,3.2421,32.7608,3.0113,32.7323,"Northern","Northern",25.8871010334764
"18-BOL","22-OMI",0.245711289300492,3.2934,32.7822,3.0113,32.7323,"Northern","Northern",31.8892717747586
"07-OSG","22-OMI",0.334575691120854,3.211,31.7253,3.0113,32.7323,"Northern","Northern",114.119637653458
"10-PAG","22-OMI",0.312911506570574,3.3777,31.994,3.0113,32.7323,"Northern","Northern",91.6370575624071
"21-KT","22-OMI",0.338736172916464,3.1709,32.8049,3.0113,32.7323,"Northern","Northern",19.5135130790511
"02-GAN","22-OMI",0.361963110601112,3.2521,31.1231,3.0113,32.7323,"Northern","Northern",180.865100690095
