"Population","Allelic_Richness","N","MLG","eMLG","SE","H","G","lambda","E.5","Hexp","Ia","rbarD","File","FIS","Ho","He"
"46-PT",2.78915579923002,26,26,15,2.45756246186355e-07,3.25809653802148,26,0.961538461538462,0.999999999999999,0.511454427925016,-0.0183148253044066,-0.00195539094025551,"Gff.genind_rf",0.067,0.484,0.512
"47-BK",2.85057147043559,40,40,15.0000000000001,1.80396389370222e-06,3.68887945411394,40,0.975,1,0.504368866653101,0.110779965788273,0.0113004958910549,"Gff.genind_rf",0.081,0.464,0.508
"48-BN",3.15727366617673,40,40,15.0000000000001,1.80396389370222e-06,3.68887945411394,40,0.975,1,0.577848101265823,0.287803252869733,0.0320317005522298,"Gff.genind_rf",0.089,0.522,0.579
"50-KB",3.41242322955678,40,40,15.0000000000001,1.80396389370222e-06,3.68887945411394,40,0.975,1,0.583084004602992,-0.10536639942747,-0.0105605271675891,"Gff.genind_rf",-0.005,0.588,0.583
"51-MF",3.57457607760844,38,38,14.9999999999999,0,3.63758615972639,38,0.973684210526316,1,0.635732005959688,-0.0155794714513235,-0.0015622364853584,"Gff.genind_rf",0.017,0.624,0.635
"52-KR",3.67475830403944,50,50,14.9999999999998,0,3.91202300542815,50,0.98,1,0.656254802131055,-0.0476415631606595,-0.00481386268799412,"Gff.genind_rf",0.108,0.589,0.659
"54-MS",3.26529875051839,30,30,15,6.08580644627277e-07,3.40119738166216,30,0.966666666666667,1,0.580957142648064,0.141824546465147,0.01438057423502,"Gff.genind_rf",0.058,0.555,0.584
"55-KAF",2.92190968460096,50,50,14.9999999999998,0,3.91202300542815,50,0.98,1,0.520714765038877,0.383438996343631,0.0420986054759517,"Gff.genind_rf",0.092,0.488,0.52
"56-MA",2.10465924057296,33,33,15,0,3.49650756146648,33,0.96969696969697,1,0.304350684430068,0.240653955442079,0.0282741338879944,"Gff.genind_rf",-0.1,0.341,0.304
"57-KG",2.07914431889143,32,32,15,0,3.46573590279973,32,0.96875,1,0.31547619047619,-0.00445410050637818,-0.000512976169771432,"Gff.genind_rf",0.009,0.309,0.315
"58-SS",2.23260008540987,40,40,15.0000000000001,1.80396389370222e-06,3.68887945411394,40,0.975,1,0.340924263648019,0.0404385334291872,0.00471396461435125,"Gff.genind_rf",0.025,0.324,0.339
"59-EB",2.69042911026075,35,35,15,9.65705618025044e-07,3.55534806148941,35,0.971428571428571,1,0.487370314339141,0.428520443587898,0.0487853405181977,"Gff.genind_rf",0.024,0.47,0.488
"60-NA",2.35657124632598,33,33,15,0,3.49650756146648,33,0.96969696969697,1,0.466920957830049,0.139357082922616,0.0159667238669612,"Gff.genind_rf",-0.099,0.507,0.467
"61-KO",2.27278342200125,40,40,15.0000000000001,1.80396389370222e-06,3.68887945411394,40,0.975,1,0.38279473842129,-0.0732783376999402,-0.00871093350693297,"Gff.genind_rf",0.019,0.377,0.385
"62-NS",2.49102022648398,16,16,15,0,2.77258872223978,16,0.9375,1,0.406552573307301,0.168554827927945,0.0243624995276487,"Gff.genind_rf",0.103,0.387,0.407
