"","Var1","Var2","resid_ibd","BIO1_mean","BIO2_mean","BIO3_mean","BIO4_mean","BIO5_mean","BIO6_mean","BIO7_mean","BIO8S_mean","BIO9S_mean","BIO10S_mean","BIO11S_mean","BIO12_mean","BIO13_mean","BIO14_mean","BIO15_mean","BIO16S_mean","BIO17S_mean","BIO18S_mean","BIO19S_mean","slope_mean","alt_mean","lakes_mean","riv_3km_mean"
"1","01-AIN","02-GAN",-0.0422861411567643,2971.14484514509,85.5952410016741,62.292539869036,1572.69623674665,3054.71428571429,2916.30953543527,138.40476335798,81.789682660784,163.119049072266,294.857147216797,167.40476335798,1640.49998256138,444.833334786551,7.7619047164917,91.1491263253348,2979.02378627232,2957.54764229911,2969.61907087054,2957.19049944196,2.34504856382098,908.727286202567,0,5.3719416068243e-12
"2","01-AIN","03-DUK",0.032192361696214,2971.48015485491,85.6746030535017,62.2689181736537,1574.02083914621,3055.19046456473,2916.57142857143,138.619049072266,80.3571428571429,167.440477643694,296.11905343192,171.488098144531,1650.73808942522,449.523808070592,7.54761913844517,91.984742300851,2979.376953125,2957.84524972098,2969.95235770089,2957.46425083705,2.67151239940098,901.84916469029,0,4.92849405879712e-12
"3","02-GAN","03-DUK",0.0238378874903295,2971.98334960938,85.6388885498047,62.272908782959,1575.28615722656,3055.63334960937,2917.1,138.533334350586,82.766667175293,164.183334350586,296.350006103516,168.233334350586,1651,447.166662597656,7.99999990463257,91.0499374389648,2979.85,2958.43334960938,2970.41665039062,2958.06665039062,2.46784420013428,895.599853515625,0,4.96654618473147e-12
"4","03-DUK","07-OSG",0.0875715951949376,2982.73742830301,87.132735626607,62.2019493972199,1597.06932357595,3068.44092105914,2927.34809199466,141.092827132986,76.594233404232,146.246836022486,247.45147743708,147.215189390545,1469.77848101266,371.069619480568,7.77637131002885,85.6807923135878,2990.93565194818,2969.04218379153,2980.41772151899,2968.82702173161,1.71337245763103,732.890523789804,0,1.89857927093332e-12
"5","02-GAN","07-OSG",0.0543216077697686,2982.81838100771,87.0738395980642,62.2044465270223,1598.45717186264,3068.42404136175,2927.42826283129,140.995780461951,77.2535162817074,148.342827809008,251.148733211469,149.444092859196,1488.00211382516,377.200420910799,7.81856541090374,85.9451217651367,2991.00737984573,2969.15083564082,2980.48312648339,2968.92300917227,1.81559623042239,731.267852396905,0,2.17907522040796e-12
"6","01-AIN","07-OSG",0.0508949224710538,2982.08430606618,87.111111091165,62.1969378303079,1596.76730095358,3067.77450884651,2926.72155905331,141.052941355986,77.5767971712,149.088235383875,253.152940996955,150.132352761661,1494.33921616498,379.215685317096,7.73921569375431,86.077473449707,2990.2852912454,2968.32352366728,2979.81177332261,2968.11961454504,1.57683124139028,742.411919088925,0,2.11300258957951e-12
"7","07-OSG","08-MY",0.0331800294868711,2978.92958470395,88.0818723712051,62.6488348977608,1563.45224266721,3065.35087290981,2923.83627587034,141.5146208646,80.0233915897838,157.573099638286,256.923975894326,155.499999866151,1540.42104406524,375.175438596491,7.44736841268707,84.3727465177837,2987.1623021176,2964.92691200658,2976.53948225055,2964.85819712856,2.64026317209528,792.944588644463,0,1.14153385111019e-12
"8","01-AIN","08-MY",0.0207350884745008,2974.07306985294,86.7574696901466,62.4568587872161,1574.05532247079,3059.19048302915,2919.34175994617,139.848738982898,85.6475256911847,171.021008659812,293.710783886308,172.439776508748,1679.57983808758,438.668066970441,7.6358543844784,89.1475131251231,2982.09709821429,2960.0308150604,2972.43977317489,2959.85435062697,1.85542709937617,859.709109522715,0,3.32639841791775e-12
"9","02-GAN","08-MY",0.0108762354525,2974.66643554688,86.7408891601562,62.4186145935059,1575.33556054688,3059.77600195313,2919.86401757813,139.912000366211,85.8111110839844,170.326666992188,294.209333496094,171.883334106445,1679.31733691406,439.075999755859,7.74400004196167,89.1443225097656,2982.6913203125,2960.65534179687,2973.00465625,2960.46867773437,1.91149467515945,850.870974609375,0,3.3577405690946e-12
"10","03-DUK","08-MY",0.0731808627953332,2974.75561523438,86.7777780580127,62.4234364407122,1575.32644527215,3059.91460122353,2919.9559416968,139.958678064268,85.8994489937774,170.560606396888,294.142561983471,172.032369944675,1680.29890177073,438.837465396597,7.73415982821756,89.0878248608802,2982.78648792614,2960.72865888107,2973.09089900245,2960.54822079997,1.89887641924472,849.362685022275,0,3.30081018636679e-12
"11","01-AIN","09-ORB",0.0393562369013994,2973.5152097687,86.85148764783,62.4988468500573,1569.34622216412,3058.66929518332,2918.77298189899,139.896325539416,85.2379705474133,171.145668810747,293.049212237981,172.328740517924,1678.52231291523,436.999998798521,7.57349084493682,89.0737305888979,2981.53828394131,2959.49277958907,2971.86089751476,2959.32218488558,2.14952990107649,869.396863561916,0,3.04331753268281e-12
"12","08-MY","09-ORB",0.0918264480433223,2966.12193467882,87.8827158610026,63.1078130933974,1512.03118218316,3051.68522135417,2911.62966579861,140.055558946398,81.2561721801758,157.425923665365,254.13889058431,155.324072943793,1564.25927734375,371.759253607856,6.81481483247545,83.7497422960069,2974.03087022569,2952.11113823785,2964.3981391059,2952.08327907986,5.18906972143385,989.407274034288,0,3.25960206845311e-13
