"","perm_1","perm_2","perm_3","perm_4","perm_5","perm_6","perm_7","perm_8","perm_9","perm_10","perm_11","perm_12","perm_13","perm_14","perm_15","perm_16","perm_17","perm_18","perm_19","perm_20","perm_21","perm_22","perm_23","perm_24","perm_25","perm_26","perm_27","perm_28","perm_29","perm_30","perm_31","perm_32","perm_33","perm_34","perm_35","perm_36","perm_37","perm_38","perm_39","perm_40","perm_41","perm_42","perm_43","perm_44","perm_45","perm_46","perm_47","perm_48","perm_49","perm_50","perm_51","perm_52","perm_53","perm_54","perm_55","perm_56","perm_57","perm_58","perm_59","perm_60","perm_61","perm_62","perm_63","perm_64","perm_65","perm_66","perm_67","perm_68","perm_69","perm_70","perm_71","perm_72","perm_73","perm_74","perm_75","perm_76","perm_77","perm_78","perm_79","perm_80","perm_81","perm_82","perm_83","perm_84","perm_85","perm_86","perm_87","perm_88","perm_89","perm_90","perm_91","perm_92","perm_93","perm_94","perm_95","perm_96","perm_97","perm_98","perm_99","perm_100"
"01-AIN",0.176985830643866,0.183282196470401,0.00721176914473443,0.165675022380299,0.106809079709803,0.237439661760283,0.244433435422434,-0.00301685510065997,-0.106269754817696,0.305091504824653,0.176596057273409,0.0550219258135878,-0.0634435231081301,0.28453229784456,-0.0417175094218531,0.107930156344103,-0.0396600537243303,0.232867729437156,0.085409852899431,-0.0490440928618354,0.0963699045785129,0.157851083191576,0.00162840954210408,0.262440986450091,0.126355965726925,0.158277442757317,0.218753953284156,0.269301581499283,0.0217049152989328,0.39574819836281,0.13999545167134,0.161969491254058,0.0372793143039621,0.121590185968695,0.139851074814848,0.0190820371978633,0.106716752406463,0.255079550991653,0.377907984030082,0.256612624087637,-0.0392978588501423,0.078381272211276,-0.0744100003788288,0.321679890912984,-0.0618774446535464,0.0746355678454848,0.404801032691244,0.0435462545433646,0.0504946737327528,0.265258168727526,0.171415128204613,0.0760820811048929,0.0526748885933251,0.171832658370481,0.340271049517153,0.142445947406132,-0.14884514124016,0.178732387158393,0.38231168337891,0.0448588048700032,0.184005738161271,0.26091214432604,0.10446247435751,0.358665043341075,0.143748673188145,-0.217242115597994,0.367597219441812,0.166386743268493,0.161428568153226,-0.0303968274651985,0.304527658683517,0.0127011626145833,-0.0549769039511439,0.0569980723457044,0.124187216554633,0.00631200825395895,0.210078176057632,0.083758478382598,0.272680391399688,0.0684199288775873,0.194303123769056,0.20290211415145,-0.53996588773658,0.107690245113302,0.105338537521197,-0.0528161772285889,0.201429182544505,-0.0155729453891589,0.0578373964661894,-0.0852644981382846,0.031369921877157,0.135431817226869,0.124443960166926,0.260061274790429,-0.254445488275992,0.132803747142394,0.044243660139652,0.0181112024573055,0.207453049407159,0.0562134752623592
"02-GAN",0.144802931725207,0.109520042864817,0.0140500082097604,0.0596428514458885,0.073521216815279,0.154753922778091,0.137141814094769,0.00362806546072358,-0.0380026153391391,0.0790715189890665,0.20850299661522,0.117141557233142,-0.0589178141941182,0.184568538091576,0.00181281960494273,0.0839343973719863,-0.0045801558013181,0.0683277001992151,0.0333415151819026,0.187936200625613,0.0772911291684787,-0.0222473894029995,0.00380748163532407,0.190381963359717,0.066947098039989,0.232911481148595,0.106789649924612,-0.0389634563903882,-0.438001086140651,-0.130258051286045,0.0413717225741298,0.156397272769528,-0.0172630898825443,0.0578923308942146,0.142451270863168,-0.013978439035119,0.029049670451172,-0.160896357694011,-0.155215717951654,0.210825019623848,0.0626145804139436,0.0844455454335826,-0.000814889566517429,0.22764232907072,-0.00485959795145563,0.074795363410354,-0.0245704173813941,0.082015314700034,0.0328097953320379,0.28161033032256,-0.197418974177441,0.0471823116896936,0.0504308696166611,0.202937552362406,0.0160757570073209,0.0501881273146531,-0.0736113146528914,0.230599167851509,0.241585704799069,0.0583757735982303,0.208362915763224,0.15249837107647,0.0674115241318395,-0.0700630637992039,0.228732666345804,-0.121223303948259,0.100350106217504,0.116315666131959,0.205968340401471,-0.0150538021556412,0.127798695320947,0.0155253393821551,-0.00962941101697812,-0.0305924726222182,0.139683667034409,0.0206243864251856,0.107025596753696,0.0376339969245644,0.0884405432802481,0.074371639528378,0.0600079347523403,0.0301446539853918,-0.351216404489794,0.0927184743180529,0.173620306454006,-0.00968579024407856,0.103346750198272,0.000266888833995615,0.0266088391820953,-0.0411388291351664,0.0717169067070028,0.00263065698806875,-0.00493629297732912,0.23216484156423,-0.162718734266776,0.0805513133656897,0.0996322617980799,0.0296734536910753,0.0499007024203967,-0.0970753123601391
"03-DUK",-0.163323553365731,-0.105499151250471,-0.0887795937639926,-0.13336120537142,-0.14450296902701,-0.55677388405831,-0.398736781490766,-0.059547971924468,-0.0830727981438726,-0.230989191499079,-0.302049975666506,-0.0994888572555808,-0.103166823683002,-0.198934402189854,-0.0487925994572067,-0.117799079524156,-0.0487088175990085,-0.338389264271391,-0.115041914335982,-0.585613611379406,-0.0718767557614592,-0.0760064344380815,-0.0958924838748831,-1.05293581705294,-0.465092306023201,-0.225921903802716,-0.12508918214697,-0.213881582479342,-0.300661132434989,-0.59829046762091,-0.221570395754213,-0.595344143001736,-0.0731260628362636,-0.131901096804553,-0.704701648285819,-0.183569306227435,-0.220129711620889,-0.248877154946087,-0.483864315997763,-0.0939623136861159,-0.0771711269686364,-0.240275184720248,-0.0634197251749558,-0.0231125754128072,-0.0541276492603389,-0.0131835416201924,-0.684916108838231,-0.115546618699236,-0.188591870606714,-0.060015401875956,-0.598691017686634,-0.0557092199109817,-0.20755154576848,-0.107729538959503,-0.511270555371168,-0.371079722501062,-0.0743274756484542,-0.191535715009675,-0.184813924081149,-0.124078619368397,-0.14692315611967,-0.0987004415428436,-0.0951009089241002,-0.239182908601979,-0.215522424312198,-0.0845324210077489,-0.410281801451637,-0.171327595397796,-0.145666302905206,-0.0529148494808169,-0.377104953682374,-0.115157603413681,-0.0233687088863732,-0.255545542007123,-0.243740859562,-0.0592457893243632,-0.259811703697207,-0.12661120095312,-0.560766869073248,-0.127483669929145,-0.411499426230582,-0.179977714459543,-0.186036003120915,-0.0615074749137339,0.0695633280151712,-0.0525626690284444,-0.269617563563288,-0.0758244477030308,-0.115036070514501,-0.0599681335387097,-0.073827465588046,-0.098491807839818,-0.140676176612651,-0.226809071594431,-0.0784724721841852,-0.18847106733085,-0.111537897383789,-0.0861962636690541,-0.201008860874344,-0.306559762326145
"07-OSG",0.125779334174231,0.042096781777351,0.0137292449528121,0.0857710199426486,0.0709710675560672,0.119356588205234,0.126709542684328,-0.00680549796863583,-0.0504406966177582,0.142101529694718,0.171789538987731,0.0386673758524438,-0.0381736082205224,0.122916776922798,-0.031589823398614,0.0641941213391944,0.0175865832490599,0.183616300022417,0.0252045709241636,0.0443248923736976,0.0501574242672244,0.0986953561878741,0.0084074312064023,0.0887903763857514,0.123497063806929,0.0799112898849376,0.115011985110801,0.175225410325855,0.132277461815061,0.0119147994700497,0.117025854645268,0.106206842410991,0.0523535326595161,0.0918764881967039,0.0683466343707451,-0.00297862227166812,0.00116457805928671,0.0503943806933452,0.120608614538227,0.0866572616273276,-0.00927337571888742,0.040317460864882,-0.0110954205688381,0.179252393492152,-0.0553762749479425,0.0690536715286593,0.185558558209054,0.0432679675898454,0.0251695261911262,0.0979489150148682,0.0999090139993231,0.00874311630223623,0.0321793653590118,0.11276439468959,0.127899004480248,0.0785966221309626,-0.0570132857652972,0.115975466540025,0.171264550278049,0.0521045402235861,0.127867988583642,0.188792969060505,0.0593883076440462,0.235412149227172,0.136540927978408,-0.101772638894861,0.218060358552809,0.122153730699752,0.157068742658774,0.00802257063181089,0.136417869042854,0.0386912998174992,-0.0767510458503977,0.0624581594141391,0.101867172516502,0.0383410639006767,0.122007192291255,0.0615321086290761,0.207117891419444,0.0588716872172125,0.136650457994427,0.00942280547333818,-0.345785681139578,0.0693857984923204,0.0751534163930458,-0.0264889206966639,0.132604005572763,0.0153889213445084,0.068672333725416,-0.0529389149147963,-0.04223861504199,0.0578224347863289,0.136608811261727,0.218246119880025,-0.200101558147339,0.0891558366795636,0.0739544967928121,-0.00693571331141518,0.227098376015412,0.0373437071971652
"08-MY",-0.00396664941505853,-0.0570911433384864,-0.000151205661741205,-0.0719129759218082,-0.0284529435179695,0.0686095243629052,-0.0368578937157986,-0.0107690885985128,-0.0171004218715389,0.0213238631798595,0.0625680907902039,-0.00711747248035399,-0.0153710060211172,0.0908734912819167,-0.0125403201528425,-0.119791831597961,0.0111637933913299,0.11876021319742,0.0172020932331708,-0.0741432394849435,-0.0419349940411089,0.035369251843134,-0.0186729062477304,0.174543987336917,-0.000962448638587521,-0.0311475958240821,-0.00514574873606866,0.0362191482196947,-0.152375521979657,-0.071757749167874,-0.014951877132255,-0.0806188260514544,-0.0143356207619876,-0.115160918615553,-0.037458722449319,-0.0673904438175348,-0.104309465179639,-0.16055813302938,0.106300137605027,-0.0253557206309138,-0.00255139922157777,-0.0934046434254685,-0.00550669234779466,0.117753619725552,-0.0269315054368326,0.035243942241132,0.0316776824037364,-0.0483373928899342,-0.0425208677153868,-0.0518041766503197,-0.118973980924954,-0.0769685222681595,-0.0126850808535726,-0.0399810238572877,-0.0419502644113579,-0.0319239904102995,-0.0256340051003263,-0.0236062056631026,0.147702985666244,0.00736996663020895,-0.00594701432593547,0.0740686276609522,0.0127081696514758,-0.00468256409196499,0.00222611394139172,-0.0202751476662701,0.126282085842956,0.0871185803642647,0.0176263682539783,-0.00977506508917925,0.0315910173518276,-0.0188041689583671,0.0110095573743783,-0.104055189188334,0.00935927224824118,0.01621848039786,-0.00696960429348215,0.0270734949463934,-0.0530680728375013,0.0155524576577759,0.0517287587395198,-0.0992308448950567,-0.234336054475609,0.00366718959976386,0.00407364542267086,-0.00376687381321417,0.0379080954735179,-0.00471150351868399,-0.00993248122508672,-0.0339113576102761,-0.327301463192761,-0.0876114590437984,-0.000855542799107045,0.0648223740513694,-0.07657229377802,-0.0775755814132157,-0.00105175741375674,-0.00613650807947863,0.134244359625641,-0.205861804588685
"09-ORB",0.0100783829333625,-0.0216042380127235,-0.0429415331590688,-0.0847881917582796,0.0198360798871896,-0.0171058298216076,-0.0977945848401656,-0.0443966773534017,-0.0928256516321497,-0.0429889380581425,-0.0148878710924245,-0.032310860385026,-0.0912843070767366,0.0368381624760878,-0.0535958958023002,-0.0851625372718667,-0.0301433121914487,0.0496740792703886,-0.0331531025629288,-0.166022495547489,-0.025091218314989,-0.0528960996332142,-0.0506557578526785,0.090725278657922,-0.0877626929899766,0.00188332712703509,-0.014407243664077,0.0119907986874772,-0.223174486472304,-0.140917587080978,-0.103185730935571,-0.149184771250673,-0.0359700972846198,-0.0652627364098972,-0.101919106656486,-0.0572061611127876,-0.0676523087394083,-0.120306085237938,0.133289244917974,-0.00536066787290013,-0.0622018863928184,-0.135480910868367,-0.0599585231998567,0.0455907660107535,-0.0723145182366149,0.00480641276071181,0.0222748586694927,-0.0577099792663609,-0.0797665440026001,0.0733097679671091,-0.102324328698189,-0.0334538912941291,-0.0643854064021059,-0.00623070317942265,-0.0615115923473539,-0.0888713704156652,-0.0920279510998478,-0.00956826836979774,0.083310898907671,-0.0725372617641968,0.0139603462291642,0.0132816743461034,-0.0156923404452416,-0.0137809801803728,-0.0552874664103429,-0.133065107641,0.128973734065859,-0.00976308549122917,-0.0204229794626896,-0.0527532749121096,-0.0061883649479586,-0.0441475538649898,-0.0499813428876998,-0.0640060100551465,-0.0418797223902188,-0.0303558630426883,0.0263954103832136,-0.0204071374345796,0.0767626993873078,-0.0251980687358953,-0.100107954883421,-0.113813538562346,-0.27200374164383,-0.0604782825780072,0.0274855119501943,-0.055825887916477,0.0471914765643028,-0.0493185636309152,-0.0537229495712199,-0.0853114265840746,-0.138455718162538,-0.0200012586589384,-0.0412880973246621,0.101288140626996,-0.143796061018429,-0.0809154582538087,-0.0348036020269116,-0.047842751478951,0.0433241663745019,-0.173858837507561
"10-PAG",-0.0510895153918516,-0.117941219029105,-0.0592968605067941,-0.0437704639320622,-0.0460211019709853,0.03753700755883,-0.0745617889957289,-0.0555888144509991,-0.0557237742452881,0.0478577631109132,-0.0281595075093966,-0.000516963202435772,-0.0613157709842056,0.0570856633430221,-0.0567722763021257,-0.200054531644746,-0.0514184485545863,0.119917257028945,-0.0315155373666751,-0.161748795746541,-0.0626064994987898,-0.0417331278774034,-0.0865866765564238,0.0777381189308841,-0.129362852144403,-0.132900733554133,-0.0363069648576559,0.0693922698106312,-0.13565349004362,-0.111820639148146,-0.0212367149001895,0.0306005410882141,0.00408020697169809,-0.213347291022273,-0.154492753770372,-0.114480355398008,-0.156451942824259,-0.0364121988169963,-0.00100464327347294,-0.335238132025483,-0.052924275443438,-0.113549295518773,-0.0601570566200396,0.0285213240213221,-0.089653357942326,-0.0432818498767804,-0.0259742309014004,-0.081560372862054,-0.100198800842175,0.0113138066549086,-0.141307195145299,-0.12951532473045,-0.0432185220682939,0.00748245014426407,-0.171807773306557,0.0399649359577576,-0.0121838915379102,-0.00892953692957077,0.0748607800098215,-0.0205762421287394,-0.137969945383624,0.0060377434499711,-0.040471086521304,-0.0417515596464337,-0.0549950960755432,0.0210348806540909,-0.0791812769885936,-0.00469379526640346,0.0328345645482839,-0.0369206821534633,-0.0352914668657229,-0.0716078054529747,-0.0407108592737164,-0.124204123215722,-0.0373947813241089,-0.0614458237736963,0.0219627177354811,0.00895510567683555,0.118084011919901,-0.0818659875550616,-0.123123776863054,-0.110313500957966,-0.111400974534128,-0.0343842536928292,-0.189838801434444,-0.0349215754632413,-0.0260338982565154,-0.0376186832590175,-0.0668395768250052,-0.0570462243998382,-0.495228057313505,-0.0847832034158791,-0.00788136476392398,0.0107855979786781,-0.086544175570469,-0.0427575177313901,-0.0415280535867038,-0.0544627514199838,0.0733401721232497,-0.128388547609494
"12-OLO",0.0108588351111762,-0.140145242329395,-0.0177081115464588,-0.0379896770005326,-0.0574679022449098,0.173005443285701,-0.08603307199643,-0.0117343505772498,-0.0126031105099178,-0.0380595652856262,0.0503236094042662,0.0151215477385587,-0.0116831841380578,0.088862906568879,-0.00839272079100883,-0.175867703827287,-0.0090049434877244,-0.0624794809663853,-0.0846140121321179,-0.215625576564057,0.00491710081107444,-0.0113181761342775,-0.0624256866261312,0.107645805622239,-0.031295826052069,-0.196124701637691,-0.0283536319394859,0.0333441902877832,-0.0528295575125342,-0.424126556290993,-0.0164317208021711,-0.135218745930904,-0.0412803108059281,-0.298405957207518,-0.290784291954575,-0.0473578263612409,-0.19554652704109,-0.111288606623896,-0.278532724397484,-0.204756028261396,-0.011262020856406,-0.150498311333698,-0.0175467210301619,0.0220816425351233,-0.0273608363634257,-0.0336617667599546,-0.0953636049637314,-0.0728560968342695,-0.0627947977066501,-0.0764382377641968,0.0989332460901013,-0.159927240741418,-0.0203479612236135,-0.156171171044507,-0.0369274976603651,-0.21816464971437,-0.0203212121236023,-0.0576759393788109,-0.0660955280671176,-0.0122728388784012,-0.0965789147138789,-0.0209706492492649,-0.093070056529448,0.114179363123579,-0.0126924468466856,-0.00730516464853403,0.0335936928641263,0.121385560404491,-0.0163168914349923,-0.0146508693753482,-0.140795103069957,-0.0500372528309034,0.0145582056396186,-0.0755098581247597,-0.0366314548551481,-0.00804053910982749,-0.134051797286922,-0.021641072220927,-0.0923922230704635,-0.0383265227570682,-0.0914225903720587,-0.265829123610218,0.0481295126403368,-0.0331877262902871,0.00714464247492264,-0.0127541684527099,-0.111441020920725,-0.0131921685667822,0.00249069815479497,-0.023798274050657,-0.372062980838016,-0.0511628659903396,-0.0415406747284275,-0.0578207645641355,-0.0416183190859558,-0.346125601835263,-0.027361992432015,-0.0144131083220964,0.0527603893537336,-0.186201373913005
"14-OKS",-0.790403520261374,-0.795012327331484,-0.891855712715374,-0.831483859999814,-0.99608179808933,-0.600787179216475,-0.815469105193605,-0.864536769968449,-0.900483462461479,-0.819674498996996,-0.612384835658887,-0.808697849396761,-0.896720648134706,-0.640901574527191,-0.908730075227746,-0.767702060615634,-0.866955077629537,-0.710124604120477,-0.837231338856716,-0.780518579276512,-0.829043628745056,-0.751678696181382,-0.904053911278082,-0.572514512697042,-0.627557408511304,-0.76377487033966,-0.714354602904068,-0.594150298371805,-0.736610334969074,-0.556053455800719,-0.769045799165266,-0.662304199186793,-0.787316355506303,-0.851341585554659,-0.642404745116491,-0.951604676261805,-0.843378827727888,-0.726950210426127,-0.785556747274045,-0.652451634133546,-0.856581643360917,-0.853747268244986,-0.878016248423935,-0.693370068156955,-0.932582992521187,-0.762324790183592,-0.385411876175407,-0.884615268059569,-0.855994868705828,-0.749219454454813,-1.08603713306306,-1.04459638087667,-0.883864440489965,-0.796001971353159,-0.944880663514858,-0.636759130993287,-0.869391422776768,-0.754705098612597,-0.390154990845506,-0.786986729938101,-0.853739229579408,-0.606461654157291,-0.811090746800191,-0.654384057117785,-0.621606647563067,-0.797680245913424,-0.579127482015634,-0.713419830773804,-0.638526489354903,-0.899331560351371,-0.794504401334376,-0.857802634772004,-0.905922798798379,-0.845927276712653,-0.64981779635695,-0.854494513337652,-0.580736617876991,-0.875811199612122,-0.632148461101106,-0.776699546523035,-0.505389546328175,-0.702135153820984,-1.09562098379408,-0.764181974845672,-0.92324907457404,-0.887381261140142,-0.723650072643849,-0.873472715687656,-0.819194505438662,-0.920856034936578,-1.29733259160631,-0.888639382191748,-0.655821502568265,-0.569836479401515,-1.05316967325872,-0.794810536219033,-0.829856646737673,-0.86921237583819,-0.448617181748914,-0.860705383954218
"15-NGO",-0.084099233379237,-0.29291619181264,-0.146835507583496,-0.200829562980956,-0.0850046817267276,-0.0419777943115864,-0.0680364212174236,-0.160897180969502,-0.163865952382974,-0.144890375692036,-0.0448562961133592,-0.113377644727632,-0.161282045357069,-0.0214518553317404,-0.167635655697075,-0.22693546766314,-0.151057994458006,-0.0720669565986813,-0.1183833516555,-0.435088749172332,-0.158153703012446,-0.209250617653218,-0.202457256465719,-0.306342277487686,-0.168116158766488,-0.28146272269867,-0.180729247336847,-0.0413417407392644,-0.184290270714546,-0.408573561293915,-0.131427430933504,-0.239379325305839,-0.147390922530877,-0.24519845724757,-0.274300427105382,-0.204137064308016,-0.283043309294738,-0.281801962075133,-0.174196756852919,-0.20164306854681,-0.152769441397738,-0.319720591117627,-0.172385934042808,0.0651118485913267,-0.163597784806587,-0.0589989272043379,-0.0840327688179958,-0.148397861627704,-0.194050036889229,-0.189579706921007,-0.219720281580666,-0.235989084765589,-0.111780287892532,-0.139815809282064,-0.28139708705272,-0.201381867845224,-0.19242176865136,-0.172273743624793,-0.0960141703234372,-0.132573687119485,-0.176421617555514,-0.0812743170945067,-0.135555004215993,-0.173664882359349,-0.134733841953515,-0.123007034225212,-0.0805633112691631,-0.0627633013982745,-0.0608365191680997,-0.164477189582185,-0.218055556516165,-0.157052566679389,-0.150861660568017,-0.206387634474805,-0.0278269635445052,-0.143674636310085,-0.094341467904453,-0.137512043521004,-0.137923231086108,-0.188154051250463,-0.128063280558776,-0.242622212048021,-0.435910285072515,-0.165522795091426,-0.214910419328606,-0.167719293418896,-0.278786978188246,-0.138522338576277,-0.172450466055868,-0.206073499013749,-0.398495699230555,-0.12822666479562,-0.158186316168931,-0.0807994636133536,-0.252639757561763,-0.292509162331009,-0.100294300253239,-0.141688731457185,-0.15519236211347,-0.246042705730253
