"","result.1","result.2","result.3","result.4","result.5","result.6","result.7","result.8","result.9","result.10","result.11","result.12","result.13","result.14","result.15","result.16","result.17","result.18","result.19","result.20","result.21","result.22","result.23","result.24","result.25","result.26","result.27","result.28","result.29","result.30","result.31","result.32","result.33","result.34","result.35","result.36","result.37","result.38","result.39","result.40","result.41","result.42","result.43","result.44","result.45","result.46","result.47","result.48","result.49","result.50","result.51","result.52","result.53","result.54","result.55","result.56","result.57","result.58","result.59","result.60","result.61","result.62","result.63","result.64","result.65","result.66","result.67","result.68","result.69","result.70","result.71","result.72","result.73","result.74","result.75","result.76","result.77","result.78","result.79","result.80","result.81","result.82","result.83","result.84","result.85","result.86","result.87","result.88","result.89","result.90","result.91","result.92","result.93","result.94","result.95","result.96","result.97","result.98","result.99","result.100"
"1",-0.168681075818665,-0.216806603561284,-0.176181594127214,-0.0158563288201605,-0.268499383385968,0.00516690905853934,-0.283134124761172,0.018131388832183,-0.286253386714182,-0.669388090498285,-0.218469385083924,-0.488684487869108,-0.364268212640431,-0.259977144690791,-0.0331766757431657,-0.201953878948765,-0.176287094229056,-0.130584547824132,-0.21136720700875,-0.0469389787490599,-0.173686890521459,0.213735808092776,-0.155862618681843,-0.233680696935147,-0.141100463997027,-0.117751669680596,-0.572617158409999,-0.323241282757829,-0.288937209117274,-0.287346125856779,-0.156681930370711,-0.026518466365973,-0.125483309100064,-0.102622690634879,-0.253396649344282,-0.364165029283937,-0.286075480391226,-0.293377758395328,0.00860859121005564,-0.209978648399344,-0.249551541702778,-0.126750804922826,0.0588987443565367,-0.0689053346551913,0.00522466968039625,-0.449648010481629,-0.125730871291418,-0.162413903086469,-0.258043050414251,-0.0635840813937492,-0.0252838940027689,-0.00278568526163991,-0.504098227347374,-0.372733219763907,-0.195799647782353,-0.222032584365182,-0.335968390885017,-0.187133551220093,-0.311189891593303,-0.267232591287524,0.0140137679360552,-0.298882179433889,-0.134906468049591,-0.158088261280171,-0.258753379787234,-0.267581674735427,-0.10945037806344,-0.35071981876323,-0.162892542620095,-0.334353491487998,-0.0786726089839027,-0.417486148222304,-0.442752142932593,-0.0940939710197182,-0.147745250388568,0.187980766560169,-0.0149213683097993,-0.0931383016302554,-0.139140907650711,-0.204322662596417,-0.0054714108071714,-0.365877054541105,0.0762953946768988,-0.780629268345398,0.0346029196787032,-0.044489718949986,-0.0744981141867123,-0.0362781529214891,-0.0228937928867379,-0.0835097195620906,-0.148734092299109,-0.10688186219208,0.0377461097981252,-0.0926037757686982,-0.487039894682136,-0.175051957140649,0.160470847356169,-0.189439467687212,-0.433567043457937,-0.503910325891501
"2",-0.408531185457448,-0.281050191772618,-0.536395670149982,-0.23551542820897,-0.328594933672199,-0.0396661328685537,-0.544567243838066,-0.176216548311412,-0.40066571681589,-0.0697227093799653,-0.368478582438267,-0.548037903634922,0.144450869169668,-0.308024231531342,-0.756112069784689,-0.158427794256325,0.179731840691289,-0.402478600949233,-0.0111387561397789,0.0554032114618318,-0.137499670830489,-0.133166550336517,0.116062475123581,0.00773742797195409,-0.452488599453395,-0.681254310841461,-0.152789713991142,-0.278530125366623,-0.908722499102295,-0.478151614031831,-0.523907558052918,-0.265930656481491,-0.338407730747024,-0.537603194521349,-0.0798795277318303,-0.490535457587558,-0.0454826231141252,-0.478089955545017,-0.35366476660358,-0.244238000652093,-0.363515107007439,-0.522956481810059,-0.235799026173765,-0.0696735290457065,-0.38505710612693,-0.17768413429988,-0.23835649939176,-0.254225975256336,-0.0900571990418559,-0.197873346036646,-0.799563448818973,-0.571327974196185,-0.0228382491047234,-0.298887560009903,-0.0981308893895161,-0.300346304559787,0.1117184483425,-0.275410964779983,-0.245441399898576,-0.261795571940487,-0.0442266495169239,-0.433512606354242,-0.625996022601864,-0.210067870117952,-0.800598433320521,-0.204571448147183,-0.80495112959195,-0.541164048622329,-0.408905470414801,-0.482791817131965,-0.25330318051541,-0.216652938560579,-0.281828581919777,-0.512840006271055,-0.692217009749391,-0.166635475285237,-0.333254477360868,-0.277427551270201,0.123762843596638,-0.163967023636505,-0.25412863083608,-0.0945292264259385,-0.362828822712631,-0.0219270461741938,0.149313049090685,-0.238945778343975,-0.0373723455638457,-0.0568741192772064,-0.163662772892992,-0.589829696714442,-0.482639264283979,-0.00845785652527531,-0.295946677170366,-0.436785158493901,-0.246507373502617,-0.0832475879953989,-0.0141090757688944,-0.210486711925769,-0.125156171421509,-0.460908150974182
"3",-0.157987736956599,-0.230051594208602,-0.357933020233363,-0.0689283759736961,-0.169760906088422,0.10557605087226,-0.346488877221949,0.0980234402430312,-0.0745891621261046,-0.307773908530579,-0.046095893473711,-0.136550522638534,-0.173720780493375,-0.412691578295156,-0.442390350802515,-0.31152749794844,-0.137294580178611,-0.218894679263408,-0.163573129549157,-0.124455586168145,-0.142041871398435,-0.319783915439353,-0.00416836497406869,-0.184119823143037,-0.0833824313318148,-0.220407168591592,-0.354804823190556,-0.524516294216691,-0.2831736385049,-0.0405435613514435,0.0144746022934514,-0.230997470583596,-0.125510722739535,-0.13530806400865,-0.511638740437391,-0.432246232500447,-0.546761304711003,-0.0922211945759692,-0.469750043710477,-0.529329516895094,0.0656521444231095,-0.407323872285499,-0.256406254276317,-0.211987747374147,-0.44738826907498,-0.442117976638531,-0.247238591913792,-0.491206174163098,-0.292008319814749,-0.0057994337770042,-0.0893535157669785,-0.491737425291789,-0.330158942853773,-0.411620371193711,-0.0999112042763333,-0.250785297510631,0.0064017434694289,-0.664234606314161,-0.206971798320242,-0.167749778536256,-0.270553618468652,-0.252893451523139,-0.589155816196217,0.0141646721506187,-0.391987164935485,-0.222152085402839,-0.334012771245946,-0.62500868781256,-0.22850194652789,-0.186513526492677,-0.0664022551842551,-0.189700609894831,-0.36045392532415,-0.132993690100659,-0.171955531722109,-0.266570493383246,0.00505515686688163,-0.326369912196671,0.012044844114465,0.0084224488871405,-0.0153500049395825,-0.305493844036339,-0.137336699496649,-0.104089533057899,-0.0885283107403851,-0.30704247670371,-0.0267329074834268,-0.445075958437257,-0.105539673381917,-0.337645485945166,-0.123766014037463,-0.398337484095437,-0.65722631519462,-0.507332281639299,-0.751660033704651,-0.271924915931806,-0.396430092023165,-0.389806884765851,-0.20663974360539,0.131095347820177
"4",-0.0248163902131744,-0.243867287130128,-0.0810322682537783,-0.0136903452072363,-0.215312306257101,-0.225277105884702,-0.0113278562219348,-0.00217609699800159,-0.0197959230719105,-0.10811719520024,-0.126180486522822,-0.0353987989985953,-0.0797301515277526,-0.0552022534672598,-0.17033899910348,-0.130487947355267,-0.253778331695501,-0.272421658274471,-0.201389930976436,-0.201400299682176,-0.245397328085503,-0.126988303722414,0.0821596321941801,-0.0962704609350913,-0.0322478845473464,-0.0498972482659752,-0.0573331374173049,0.014249932052844,-0.0859143785923921,-0.22145276541429,-0.144193973093952,-0.0850713465107025,-0.0961340685862835,0.0240443432538069,-0.0417892243381881,-0.159903840590515,-0.105046050990349,0.0204960012774366,0.0514348441052931,-0.0262788028127603,0.0300959153478578,-0.0444396114558949,-0.0247393442977442,-0.0137003905927449,-0.107658858309662,-0.120332407299603,-0.0523702997466762,-0.0808404998299395,-0.220056954851371,-0.105548008065945,-0.03040202117752,-0.149368913005451,7.13210855867175e-05,-0.0675678642514308,-0.00258119533082324,-0.185247077863246,-0.20902035611839,-0.320607658335763,-0.0937670533693977,-0.0740125840641985,-0.165957606900528,-0.00662022632373116,-0.0157124460084197,-0.091289858961527,-0.111248053792442,-0.0265429090488063,-0.00246056739632916,-0.171932775124175,-0.0274898194490925,-0.139876662110869,-0.205190636311384,-0.0101367125475706,-0.243248579893801,-0.0684498395272712,-0.0248867335795318,-0.223343042883314,-0.0165551000737971,-0.066921579878936,-0.263297851397695,0.0346638276041655,-0.205646142757789,-0.441558813121658,0.0323305860851738,-0.161477812644242,-0.315479167296107,-0.219233303810205,-0.0541919535088817,-0.0601256624741024,0.0556383705204988,-0.0597636115522169,-0.257762310157762,-0.0192099681499485,-0.0691607262933784,-0.19547990511311,-0.0662819287578889,0.0634975940792002,0.0602995471603764,-0.129388187770892,-0.137253072440147,-0.0185697275169869
"5",-0.100494939447578,0.169787458698517,-0.0759397619286089,-0.161899402589783,-0.44078502406866,-0.0982653941647769,-0.135955691229236,-0.0460468784354664,-0.00475808113192056,-0.0845960084526245,-0.171867273648986,-0.0523742724841239,-0.236353143248992,-0.101422404176412,-0.130361052899556,-0.0721566342958018,-0.112015152666197,-0.0123432345186094,-0.219477344869141,-0.0129035777667617,-0.1117328130052,-0.360998970515134,-0.166089064260074,0.0179511873386715,-0.104565913526316,-0.340531664597243,-0.229076054370724,-0.109703908105536,-0.220282210399355,-0.00294876461465265,-0.581036871812337,-0.631050412361737,-0.0278125935268745,-0.223116596029252,0.0859195158804218,-0.10569655383212,-0.127831332531058,-0.156862193523885,-0.132188553802164,-0.164747189169877,-0.132243299641714,-0.173071387997824,-0.109343149276192,-0.212746916831254,0.052275826948893,-0.133755647680047,-0.284123158422084,-0.276626902424414,-0.16002188731702,0.170130194984737,-0.0637443826875919,0.0530147256230559,-0.154039638332488,-0.279019521327949,-0.661644943112558,-0.23158937502398,-0.120122197653129,-0.0307194617157336,-0.304059229671577,0.153231689467777,-0.0640528389330197,-0.00964914748860868,-0.340385481058852,-0.339137029011457,-0.172883231904001,-0.33745827822261,-0.283149694707013,-0.0186716721402069,-0.0494405351092726,-0.180113289861495,-0.240322361048971,-0.429520256990799,-0.0825363501918062,-0.0148011014133274,-0.208179374812283,0.0203967737133974,-0.333357154671635,-0.226558014277396,-0.608896253954114,-0.275969401812318,-0.0411272215570944,-0.250611556756496,0.0100965961824816,0.0489146705794682,-0.0863914563198336,-0.304969331682475,-0.12743966948113,-0.173961509034755,-0.247211314297565,-0.210560740640707,-0.0752434852273047,-0.215160477856815,-0.169640609048781,-0.202399787063966,-0.395148722102152,-0.0587965971204674,-0.593424172277653,-0.0804949190160593,-0.0198365150236253,-0.124825297949752
"6",-0.0988097446474909,-0.0402469109138011,0.0331452117199725,-0.361806505973723,-0.35958726076658,0.0170250793941348,-0.14169982922072,-0.241386980158484,0.122623013417247,-0.0889295285489815,0.111092881233599,0.111369577812054,-0.0588728779070815,-0.196851248968896,-0.0645047108017331,-0.0997214155638722,-0.0394450044049586,0.0107501546461555,-0.206665113480294,-0.287715028798613,-0.254135994147332,-0.32617762058747,-0.18085147926079,-0.0547872037820414,-0.182361090517073,0.0224287833835484,-0.109046448424789,-0.328174835534155,-0.22466816381689,0.00315638945764241,-0.185585554870551,-0.361499585913978,-0.18921778081753,-0.144286820609653,0.074628696753013,-0.175650666800408,-0.0671420100035045,-0.0495913422782508,-0.20572745922166,-0.0625291681412243,-0.124708127106746,-0.336445339225818,-0.0860861383727012,-0.101697632659224,0.13265832641598,-0.0691787203080529,-0.00945001386751154,-0.102505257004502,-0.291112312028076,-0.112681612126326,-0.08583152718256,-0.12499867956383,-0.261208517738754,-0.0100433625020184,-0.117612394591155,-0.17915749134631,-0.236617598267975,-0.114979820918923,-0.272749609214041,-0.00665026451867057,-0.159830366099939,-0.118083181874312,-0.153768545386366,-0.131889285007743,-0.176770599536875,-0.128169247758754,-0.248017306764175,-0.160153834069885,-0.479613087544797,-0.0548382407815491,-0.559283631899513,-0.34493643679415,-0.0669943714824921,-0.142908909192243,-0.0159788005288761,-0.115117506147139,-0.143162650044028,-0.452740782019771,-0.0113454191419184,-0.128983349693889,-0.304339128558701,-0.130034396032219,0.106205590805737,0.00738321330248914,-0.212752575531757,-0.165909685193973,-0.0806273819337968,-0.275875953696999,-0.330409271558966,-0.174832982801921,-0.0621851394732573,-0.316960349325261,0.156733150520461,-0.0817282149395719,-0.114290092144378,-0.196672476911206,-0.210868873242881,-0.284192516457597,-0.0496349388591404,0.0322914935865174
"7",-0.254791833808928,-0.621231798237801,-0.353471322302465,-0.140181901832086,-0.15182764535536,-0.129446966150514,0.0210745231607893,-0.123746878446035,-0.102065481631388,-0.0126722599583224,0.0404426111387489,-0.0210096405017466,-0.304962883456969,-0.264811637572287,-0.0367417044429525,-0.09698862239785,-0.123020629859415,0.0591084542456028,-0.251022816520931,-0.0548288082371167,-0.00687435476867804,-0.024876490163817,-0.114230981482778,-0.33368302432224,-0.446641227915405,-0.0779099335559099,-0.161156986911512,-0.228593684953363,-0.0322916923002157,-0.111900817939864,-0.414976394214609,-0.215653259256681,-0.227311941641776,-0.0545334611537132,-0.284789462222527,-0.0523030601856169,-0.251433907555678,-0.231009407130742,-0.240138821799021,-0.616852355174993,0.0990604319221408,-0.431557252833566,-0.449712829358633,-0.198130071808059,-0.255260268528726,-0.076933658061737,-0.0692461045230179,-0.267144532262198,-0.17398472486676,0.0269449570410186,-0.0783715389348958,0.0844994597247736,-0.0903503508820882,-0.091402979491823,-0.0539298992007495,-0.222037218039008,-0.0910684564662778,-0.184190034819964,-0.0360518703882391,-0.0264468291906645,-0.152608819235734,-0.437324315302994,-0.117577354159268,-0.274081734897117,-0.458634977747255,-0.2815557113048,-0.187926039095277,-0.162000033972853,-0.21322440208624,-0.0809442965967127,-0.0419982497232565,-0.251049210416844,-0.163123808976831,-0.0251197327093129,-0.257528613728869,-0.0123087916853399,-0.0375732824941795,-0.4249810408807,-0.335504076000379,-0.329186834841442,-0.127670160535728,-0.0972324855121387,-0.542357173495875,-0.279215510975718,-0.234012682187379,-0.105213109241464,-0.751258302844736,-0.186589333656381,-0.450132298981804,-0.148027375622227,-0.500311322755023,0.0269975952436478,-0.163728893124979,-0.133780103997919,0.00760675140940692,-0.299017969455732,-0.040330109044119,-0.0141804699583472,-0.107713969487282,-0.0169379043887563
"8",-0.352041330332964,-0.378711474977132,-0.104830028375596,-0.0124466245452477,-0.236467225591924,-0.0959280712070296,-0.135876301899197,-0.345730272981828,-0.061713069143549,0.0547877014046743,-0.0195424355510789,-0.0194618980070782,-0.257419041339016,-0.201172825802746,-0.137615162566892,-0.0703906293244088,-0.152145554818122,0.0271182315336752,-0.14039208566693,0.087767187734422,-0.11054943959418,-0.224741694690692,-0.287805305706849,-0.294618060738593,-0.314664684904149,0.0838118777545344,-0.198478088693723,-0.180526493242953,0.113622531057299,-0.312653559870806,-0.133889939932161,-0.510704586851371,-0.00657603379456728,-0.0748110480786688,-0.390455154074506,-0.133672027914294,-0.115075064072845,-0.159073316622875,-0.487856086169186,-0.420235799491793,-0.243528009470673,-0.490166609982362,-0.104143570170515,-0.439864383609929,-0.14262351282581,0.0546111505289953,-0.178012175563559,-0.0782706270984628,-0.0873091246576703,-0.167924747230455,-0.234249975684485,-0.126538956946668,-0.16962070156757,-0.238069142552014,-0.133261426592293,-0.0861732638983355,-0.116372164465574,-0.170642366363116,-0.0123285118531786,-0.552035430992633,-0.154517136221761,-0.0648393850234275,-0.27710067037634,-0.270157611882416,-0.51486773075556,-0.41708614825741,-0.219660995305198,-0.26055271030589,-0.233172937140337,-0.396152595624841,0.0738659847563777,-0.176914540975703,-0.282780070666174,-0.138611224525555,-0.691083302972483,-0.29658684655634,-0.0773509979423423,-0.252205038325505,-0.470099442956624,-0.0989836167690399,-0.00597085840406697,-0.152918054561205,-0.339689949823536,0.0208126301762968,-0.463758619164753,-0.116005341583036,-0.196076774599157,-0.100667568892212,-0.350757934946311,-0.058693798751883,-0.195817520383069,-0.035769988445215,-0.0681657825455377,-0.159386295035131,-0.130287627416501,-0.0372644284250823,-0.0603455929763868,-0.0357865863992537,-0.196746383892906,-0.345414530835796
"9",-0.10033828886871,-0.0595056488137171,-0.117720946002543,-0.258080937571959,-0.195282733935416,-0.427062669779983,-0.069826302122586,0.030311030917439,-0.0192414227299562,-0.372641920856009,-0.120772960443437,0.0808116872740853,-0.146064910705669,-0.0836003211998455,-0.112453646158149,-0.281600969690457,-0.154663775195431,-0.0482836023327271,0.0909854723190203,0.0373948742347657,-0.100799906490255,-0.0713223344097642,-0.129832374229821,-0.252400018273366,-0.0103169286534768,-0.0665285747902356,-0.160796575529672,-0.0779866773881019,-0.0732352807438035,-0.0649991305832414,-0.224179622265031,-0.233850948912349,-0.0162893113837401,-0.122258397816702,-0.037695987855519,-0.0254938295078277,-0.164750601392787,-0.0745567032053269,0.00715034053461783,-0.0886435274208714,-0.236944975407334,-0.105531098275667,-0.166842783297762,-0.137110939050974,-0.161494563737838,0.049176198725017,-0.14701426700783,-0.129659151017783,-0.121014559479459,-0.230733703109967,-0.100614260960778,-0.0237905315518563,-0.339832958820314,-0.0957764201512614,-0.0512813327571411,-0.280766862573316,-0.0891770228774196,-0.0297090489465663,-0.12528396496144,0.0329564535135469,-0.0281226515001933,-0.0890961238339971,-0.035985019014551,-0.0613179234010506,-0.0654853902176389,-0.0147888601739625,-0.120124524544432,-0.19282342901563,-0.129213323835882,0.126081693510247,-0.0164865286067002,0.0120609613793822,0.017789339561741,0.036168455424343,-0.110621490610025,-0.0687993095389861,-0.0870613773582818,-0.142161120424891,-0.256549605061958,-0.300017693613972,-0.246213433622474,-0.172435959789735,-0.0779705832981197,-0.0180872776973768,-0.0719504468379513,-0.384508981915548,-0.300202127071284,-0.113230773680722,-0.00538113891447067,-0.53075002953602,-0.0958599377842331,-0.107071139822736,0.0514694951215227,-0.0245615640975052,0.0569417200583745,-0.044659836899265,-0.504270583040361,-0.189262600537036,-0.14867141965972,-0.0523953664781109
"10",-0.1151071913633,-0.0591539772815295,-0.055530539019355,-0.264194021932497,-0.0230054666828261,-0.0203614699757171,-0.0843524075559312,0.131662109315286,-0.290746453181293,-0.178946803469491,0.0219463271365445,-0.0621574948355996,-0.0201171977983536,-0.35095350442026,-0.197363949314158,-0.146733728028319,0.00702132005778855,-0.306126738950052,-0.275010214575193,-0.532232160324745,-0.21847465442685,-0.186373947350811,-0.211552941245162,-0.0338150340001209,-0.0224563397633712,-0.202708201300453,-0.159556330153765,-0.0885637776109633,-0.0220219678542213,0.0334461348779104,-0.0334615965268392,-0.0612710067545257,-0.344571117083918,-0.137906428434314,-0.0105698451010428,-0.130716466644029,-0.0234070425208248,0.0220115688343324,-0.0119354369312121,-0.284815525418622,-0.278124495817247,-0.0809134791328205,-0.0644517363868864,0.154710036688195,-0.206062123721655,-0.0271532755496862,-0.0615636088415994,-0.625126068956171,0.00451437427665413,-0.0959633799072919,-0.187128477825688,-0.160561664642207,-0.203872340626131,0.00804451160798858,-0.176279658459806,-0.0119242509905062,-0.123144881101773,0.0575520077131747,-0.143300814688794,-0.226695510550449,-0.0997396551045502,-0.22643786731864,-0.169943285471635,-0.105732184826925,-0.202684782683113,-0.429538076370804,-0.0812587698096794,-0.0630524054716082,0.0416155857376879,-0.242395757929393,-0.00309200255054098,-0.256496592486317,-0.162857816949304,-0.150007816239321,-0.221492436410863,0.0404064356454935,-0.0714077339245929,-0.0728686106624703,-0.0476361610571072,-0.0642093196661524,0.00375731619044217,-0.105515123728727,-0.221663402353973,-0.0712966791307168,0.00479033536671103,-0.34604770232724,-0.091281286814942,-0.0352236796898648,-0.12118929846756,0.0219444802191603,-0.0848267372516807,-0.563840734501429,-0.039101181157833,-0.136818886222062,-0.0635878276050548,0.0170063502857497,-0.207246714536271,0.0318453401566446,-0.141887437492683,-0.0552634593659049
